statuses,date_joined,most_recent_post,following,followers,favourites,lists,tweets_this_week,retweet,retweeted_count,userNameScore,avg_tweets_by_day_of_week,engagment_rate,screen_name,account_type
11057,2010,2023,274.0,116053.0,34,620,15.0,0.0,124.0,0.9285714285714286,28.571,0.11,woody_campbell,1.0
2133,2010,2023,30.0,13178241.0,374,5234,3.0,10.0,1899565.0,0.0714285714285714,28.571,14.41,urstrulymahesh,1.0
12235,2010,2023,954.0,13597.0,7072,122,11.0,56.0,1550.0,0.2307692307692307,28.571,11.4,forthepeople,1.0
31385,2010,2023,3498.0,278874.0,5039,1250,14.0,136.0,1379.0,0.2857142857142857,28.571,0.49,bebemusictw,1.0
728,2010,2023,107.0,14.0,441,0,0.0,134.0,291748.0,0.9230769230769232,21.0,2083914.29,donieermanto,1.0
20094,2010,2023,2234.0,1011.0,12740,6,0.0,172.0,52201.0,0.2307692307692307,28.571,5163.3,darkangel78,0.0
14953,2010,2023,455894.0,598417.0,6849,2432,0.0,30.0,118174.0,0.0769230769230768,28.429,19.75,schadenjake,1.0
7428,2010,2023,1237.0,1223348.0,33649,1636,3.0,2.0,14900.0,0.1818181818181817,28.571,1.22,alessiacara,1.0
6560,2010,2023,581.0,113.0,25558,2,0.0,46.0,434212.0,0.9285714285714286,28.429,384258.41,devondieckman,1.0
24173,2010,2023,1139.0,1007405.0,28985,845,40.0,0.0,188.0,0.8333333333333334,28.571,0.02,alexescobar_,1.0
4741,2010,2023,96.0,3675926.0,9,11734,1.0,10.0,172819.0,0.0,28.571,4.7,taeccool,1.0
38803,2010,2023,1702.0,49543.0,30770,238,2.0,68.0,358116.0,0.5,28.571,722.84,kriskling,1.0
5959,2010,2023,218.0,4457516.0,583,5015,1.0,0.0,14004.0,0.1666666666666666,28.571,0.31,rampalarjun,1.0
39855,2010,2023,1549.0,416704.0,88,5763,38.0,0.0,15752.0,0.0,28.571,3.78,kagekineko,1.0
47170,2010,2023,969.0,408730.0,12535,2820,29.0,30.0,67530.0,0.4666666666666667,28.571,16.52,hackneyabbott,1.0
9245,2010,2023,1023.0,961.0,2069,25,1.0,70.0,1872251.0,0.1333333333333333,28.286,194823.2,shahsocialmedia,1.0
37260,2010,2023,1996.0,9558.0,16149,146,10.0,44.0,11192.0,0.75,28.571,117.1,harry_horton,1.0
5325,2010,2023,343.0,883.0,13274,37,17.0,30.0,24536.0,0.375,28.429,2778.71,chanamuu,1.0
13407,2010,2023,356.0,180027.0,1155,1216,21.0,168.0,560110.0,0.7142857142857143,28.429,311.13,solangeabraham,1.0
2967,2010,2023,249.0,132.0,1955,5,0.0,108.0,326970.0,0.0,19.429,247704.55,glamghoulbs,1.0
7202,2010,2023,496.0,100.0,12890,0,13.0,160.0,537766.0,0.8888888888888888,28.429,537766.0,kary_grey,0.0
222421,2010,2023,119629.0,193059.0,1314,1314,2.0,110.0,8193.0,0.0833333333333333,28.429,4.24,dahgmahn,1.0
1547,2010,2023,16.0,1172528.0,0,8445,3.0,2.0,105172.0,0.0666666666666666,28.571,8.97,medvedevrussiae,1.0
23542,2010,2023,730.0,1073.0,8785,1,8.0,22.0,111048.0,0.7333333333333334,28.571,10349.3,alexiisquintana,1.0
27384,2010,2023,400.0,565962.0,40466,1374,15.0,20.0,140444.0,0.9166666666666666,28.571,24.82,chris_meloni,1.0
