HasProfilePicture,following,follower,HasAccountDescription,likes,posts,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfShare,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfViews,IsABot,username
1.0,1223.0,54.0,1.0,7.0,1.0,1.0,1.0,1.0,7.0,0.0,13.0,1.0,
1.0,1769.0,29.0,0.0,28.0,9.0,1.11,0.11,0.0,2.11,0.0,1.78,1.0,
0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,273.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,46.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,491.0,27.0,0.0,2.0,9.0,0.0,0.0,0.0,0.33,0.0,3.44,1.0,
1.0,479.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,26.0,3700000.0,1.0,47200000.0,20.0,0.45,7342.45,29061.3,588901.4,0.6,4478790.0,0.0,
1.0,93.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,173.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,656.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,247.0,91.0,1.0,1576.0,20.0,0.45,1.5,0.05,16.6,0.35,175.95,0.0,
1.0,446.0,761200.0,1.0,8000000.0,20.0,0.25,261.7,117.85,14504.6,0.15,115710.0,0.0,
1.0,27.0,1900000.0,1.0,61300000.0,20.0,6.55,92.05,309.1,16586.65,0.15,116200.0,0.0,
1.0,799.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,34.0,943.0,1.0,9895.0,5.0,8.4,12.6,15.4,1805.8,0.2,17834.4,0.0,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,165.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,436.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,198.0,1100000.0,1.0,27800000.0,20.0,4.6,611.95,105.95,81161.5,0.25,441369.95,0.0,
1.0,0.0,83.0,1.0,42.0,11.0,3.73,0.82,0.0,3.82,0.0,63.73,0.0,
1.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,2.0,92700.0,1.0,386200.0,20.0,2.1,1.85,5.05,361.7,0.35,13297.95,0.0,
1.0,367.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,66.0,2656.0,1.0,10100.0,20.0,8.0,13.55,4.8,477.15,0.55,3238.0,0.0,
1.0,508.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,257.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,9992.0,546.0,1.0,880.0,20.0,1.55,3.3,0.0,6.65,0.05,29.6,1.0,
1.0,295.0,222.0,1.0,487.0,2.0,0.0,9.0,1.0,65.5,0.0,448.0,0.0,
1.0,340.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,116.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,782.0,133.0,0.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,124.0,777.0,1.0,69000.0,20.0,1.1,2.25,2.1,41.1,0.15,1628.85,0.0,
1.0,82.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,57.0,475.0,1.0,697.0,6.0,7.5,3.0,0.0,116.17,0.17,225.67,1.0,
1.0,250.0,143.0,1.0,957.0,20.0,0.5,0.5,0.05,11.9,0.25,56.45,0.0,
1.0,294.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,247.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,589.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,538.0,132800.0,1.0,4900000.0,20.0,3.25,7.9,1.55,339.3,0.3,2091.35,0.0,
1.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,451.0,212.0,1.0,7103.0,20.0,6.15,8.4,3.3,73.15,0.15,650.85,0.0,
1.0,16.0,12.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,117.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,350.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,90.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,3680.0,125.0,1.0,3.0,10.0,0.0,0.0,0.0,0.3,0.0,7.3,1.0,
1.0,112.0,164.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,86.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,158.0,13.0,0.0,8.0,1.0,13.0,1.0,1.0,8.0,0.0,43.0,1.0,
1.0,212.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,34.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,246.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,253.0,2100000.0,1.0,37400000.0,20.0,2.75,1096.45,1150.35,218715.0,0.95,1429865.0,0.0,
1.0,238.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,833.0,42.0,0.0,13.0,2.0,1.0,0.0,1.0,6.5,0.0,14.0,1.0,
1.0,517.0,354.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,335.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,703.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,492.0,5642.0,1.0,39100.0,20.0,5.0,12.95,42.55,812.6,0.1,20478.9,0.0,
1.0,274.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,52.0,43100.0,1.0,238100.0,20.0,4.35,293.15,110.35,8154.05,0.15,78972.45,0.0,
1.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,667.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,131.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,140.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,1810.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,329.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,444.0,448.0,1.0,808.0,12.0,0.0,1.5,1.0,67.33,0.0,1397.83,1.0,
1.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,0.0,6711.0,1.0,119200.0,20.0,4.0,1.0,4.5,19.1,0.05,474.45,0.0,
1.0,2112.0,1638.0,1.0,1170.0,20.0,2.7,1.5,1.0,23.0,0.25,80.6,1.0,
1.0,188.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,92.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,2559.0,374.0,1.0,395.0,4.0,2.25,2.75,0.0,98.75,0.0,324.5,1.0,
1.0,422.0,1700000.0,1.0,25900000.0,20.0,1.3,456.85,248.75,74270.0,0.25,271660.0,0.0,
1.0,7.0,2000000.0,1.0,60600000.0,20.0,0.0,190.9,558.65,28349.95,0.7,138140.0,0.0,
1.0,588.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,671.0,35.0,0.0,0.0,4.0,0.0,0.0,0.25,0.0,0.0,8.5,1.0,
1.0,183.0,264.0,0.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,357.0,83.0,1.0,1674.0,20.0,0.1,2.65,0.0,12.55,0.05,76.9,0.0,
1.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,28.0,345.0,1.0,69.0,1.0,1.0,2.0,0.0,69.0,0.0,616.0,0.0,
1.0,706.0,651.0,1.0,11600.0,20.0,1.55,3.65,4.3,67.65,0.4,680.3,0.0,
