Id	IsAccountPrivate	IsVerified	HasProfilePicture	AnzahlFolgeIch	AnzahlFollower	AnzahlLikes	HasInstagramLink	HasYoutubeLink	HasAccountDescription	HasLinkInDescription	LinkInDescription	PostsExist	AnzahlPosts	AreLikedVideosPrivate	NumberOfLikedVideos	VerhaeltnisFolgeIchProFollower	VerhaeltnisLikesProFollower	AverageNumberOfHashtags	AverageNumberOfComments	AverageNumberOfCharacters	AverageNumberOfForwardings	AverageNumberOfLikes	AverageNumberOfLinkedProfiles	AverageNumberOfUsedFilters	LikedAverageNumberOfHashtags	LikedAverageNumberOfComments	LikedAverageNumberOfCharacters	LikedAverageNumberOfForwardings	LikedAverageNumberOfLikes	LikedAverageNumberOfLinkedProfiles	LikedAverageNumberOfUsedFilters	AverageNumberOfViews	LikedAverageNumberOfViews	VerhaeltnisLikesProAufruf	VerhaeltnisCommentsProAufruf	IsABot
69E033D0-6249-426B-882E-00AE192F18BA	False	False	True	313	9	62	False	False	False	False		True	20	True	0	34.77777777777778	6.888888888888889	0.4	0.0	11.55	0.0	1.7	0.1	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.95	0.0	0.1312741312741313	0.0	
635F02EB-2493-46B0-BBCA-00C643109308	False	False	True	49	16	155	False	False	False	False		True	10	True	0	3.0625	9.6875	0.4	0.4	19.2	0.1	14.8	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.4	0.0	0.12714776632302405	0.003436426116838488	
3FCA5356-E25E-44F2-B27D-00C83482CE38	False	False	True	420	10	0	False	False	False	False		False	0	True	0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
131F10C9-F182-4227-B043-00D9F257190B	False	False	True	516	6	0	False	False	False	False		False	0	True	0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
160D7A0B-2532-41A1-962C-00DDFF6803C9	False	False	True	94	0	0	False	False	False	False		False	0	False	20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	12.25	57.5	3.0	348.85	0.15	0.1	0.0	856.8	0.0	0.0	True
58B34505-36FB-4E97-A9D6-00DF3D585DE9	False	False	False	8	0	0	False	False	False	False		False	0	True	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
20ED3363-BF93-4D02-9C51-00ED3591E539	False	False	True	374	60	696	False	False	False	False		True	20	True	0	6.233333333333333	11.6	0.15	0.45	12.25	0.15	3.1	0.1	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.55	0.0	0.08720112517580873	0.012658227848101267	
7C1D34B8-4194-45D7-B54D-00F0BB7408BC	False	False	True	96	0	0	False	False	True	False		False	0	True	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True
0B5CFE9C-4056-49F7-A854-00FA6DD8ACF3	False	False	True	280	821	1	True	False	True	False		False	0	True	0	0.341047503045067	0.001218026796589525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6E228A1B-BB18-4B14-A4C1-011805D61152	True	False	True	3033	4	113	False	False	False	False		False	0	True	0	758.25	28.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
