IsVerified,HasProfilePicture,following,follower,HasAccountDescription,likes,posts,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfShare,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfViews,avg_videos_by_day_of_week,IsABot
0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,208.0,30.0,1.0,166.0,20.0,0.2,0.2,0.0,3.4,0.0,21.9,2.86,-1.0
0.0,1.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,3080.0,362.0,0.0,2215.0,20.0,1.6,0.0,0.0,1.65,0.05,8.9,2.86,-1.0
0.0,1.0,161.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,675.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,152.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,714.0,38.0,0.0,3.0,10.0,0.0,0.0,0.0,0.3,0.0,2.5,1.43,-1.0
0.0,1.0,330.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,80.0,6.0,0.0,62.0,20.0,0.0,0.0,0.2,0.1,0.0,13.95,2.86,-1.0
0.0,1.0,48.0,102900.0,1.0,844600.0,20.0,2.3,146.75,27.75,10788.25,0.45,78850.0,2.86,0.0
1.0,1.0,969.0,1300000.0,1.0,25500000.0,20.0,0.15,955.45,413.9,56605.0,0.25,472685.0,2.86,0.0
0.0,1.0,599.0,21.0,0.0,3.0,7.0,0.57,0.0,0.0,0.43,0.0,2.57,1.0,-1.0
0.0,1.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,28.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,110.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.14,-1.0
0.0,1.0,35.0,38.0,0.0,319.0,20.0,0.1,0.15,0.1,3.8,0.0,110.4,2.86,-1.0
