,verified,statuses,location,date_joined,most_recent_post,following,followers,likes,lists,tweet_language,tweets_this_week,retweet,retweeted_count,URL works,userNameScore,avg_tweets_by_hour_of_day,avg_ssgtweets_by_day_of_week,account_type
22041,1,102980,1,2011,2023,1137.0,3464377.0,26217,20981,1,200.0,102.0,143195.0,1,0.9166666666666666,8.333,28.571,1
22042,0,209,0,2016,2017,0.0,0.0,79,0,1,0.0,124.0,270410.0,0,0.1538461538461538,7.083,24.286,1
22043,0,2827,1,2011,2019,396.0,2366.0,1418,23,1,0.0,82.0,838130.0,1,0.9285714285714286,8.208,28.143,1
22044,0,36662,1,2010,2023,3082.0,3246.0,76030,183,1,29.0,88.0,12182.0,1,0.6363636363636364,8.042,27.571,1
22045,1,1110,1,2010,2023,23.0,10652.0,571,136,15,1.0,4.0,18577.0,1,0.2222222222222222,8.292,28.429,1
22046,0,3581,0,2017,2023,530.0,266.0,2350,0,16,0.0,108.0,19504.0,0,0.4666666666666667,8.333,28.571,0
22047,0,22,1,2016,2021,3202.0,56.0,11554,0,1,0.0,10.0,187519.0,0,0.5,0.875,3.0,1
22048,0,1207,1,2011,2018,54.0,46.0,569,2,1,0.0,138.0,285094.0,0,0.0,5.792,19.857,1
22049,0,281,0,2017,2017,0.0,1.0,46,0,3,0.0,140.0,51806.0,0,0.0,5.875,20.143,0
22050,1,4884,1,2010,2023,2719.0,4518.0,6681,133,1,23.0,120.0,44492.0,1,0.8,8.333,28.571,1
22051,0,123,0,2012,2017,0.0,3.0,103,0,1,0.0,64.0,455561.0,0,0.0,2.667,9.143,0
22052,1,119064,1,2011,2023,825.0,160498.0,12828,3578,12,134.0,14.0,7179.0,1,0.7692307692307692,8.292,28.429,1
22053,0,2184,0,2015,2015,0.0,36.0,2173,2,1,0.0,130.0,450755.0,0,0.2142857142857143,5.417,18.571,0
22054,0,274081,0,2012,2023,1487.0,866.0,0,12,13,200.0,0.0,0.0,0,0.0,8.333,28.571,0
22055,0,2016,0,2014,2023,575.0,486.0,30618,0,1,0.0,178.0,2826617.0,0,0.4444444444444444,7.708,26.429,1
22056,0,1097,1,2008,2022,20.0,53931.0,4,286,4,0.0,14.0,12754.0,1,0.1999999999999999,8.292,28.429,1
22057,0,43,1,2014,2018,0.0,5.0,219,0,10,0.0,22.0,5187.0,1,0.0714285714285714,1.458,5.0,0
22058,0,34527,1,2012,2023,1640.0,1190.0,44939,15,1,67.0,58.0,205566.0,0,0.1818181818181817,8.333,28.571,1
22059,1,21261,0,2009,2023,49.0,1677898.0,1929,3021,1,2.0,82.0,13072.0,1,0.9090909090909092,8.292,28.429,1
22060,0,2007,1,2012,2017,0.0,7.0,1448,2,43,0.0,152.0,547030.0,0,0.0909090909090909,6.375,21.857,0
22061,0,765,0,2011,2017,0.0,32.0,465,0,1,0.0,122.0,304550.0,0,0.1333333333333333,5.083,17.429,0
22062,0,513,1,2011,2022,96.0,60.0,1839,2,1,0.0,12.0,8428.0,0,0.5555555555555556,1.375,4.714,0
22063,1,13067,1,2009,2023,985.0,4576.0,2878,82,1,26.0,178.0,14080.0,1,0.9090909090909092,8.333,28.571,1
22064,0,16891,0,2009,2023,391.0,666898.0,253,139,6,0.0,20.0,24225.0,0,0.7692307692307692,8.292,28.429,1
22065,1,52298,1,2012,2023,3.0,144449.0,534,86,3,200.0,0.0,0.0,0,0.0,8.333,28.571,1
22066,0,6819,1,2009,0,1562.0,273.0,3177,12,0,0.0,0.0,0.0,0,0.2857142857142857,0.0,0.0,1
22067,0,5412,1,2009,2023,1626.0,564.0,1958,3,1,0.0,6.0,1015.0,1,1.0,8.25,28.286,0
22068,0,123,0,2016,2017,0.0,1.0,65,0,3,0.0,86.0,251373.0,0,0.1428571428571429,4.708,16.143,1
22069,0,2180,1,2012,2017,86.0,0.0,2157,1,1,0.0,12.0,8718.0,0,0.4705882352941176,0.5,1.714,0
22070,0,2181,1,2012,2017,35.0,0.0,2180,2,1,0.0,12.0,8718.0,0,0.3571428571428571,0.5,1.714,0
22071,0,273419,1,2014,2023,554564.0,500592.0,42177,1405,1,4.0,96.0,4278.0,1,0.5,8.292,28.429,1
22072,1,53398,1,2009,2023,850.0,384116.0,17814,1062,9,16.0,22.0,13423.0,1,0.6666666666666667,8.333,28.571,1
22073,0,171,1,2016,2019,434.0,321.0,548,26,1,0.0,88.0,116767.0,0,0.0999999999999999,7.125,24.429,1
22074,0,1177,1,2015,2019,1849.0,288.0,50,6,1,0.0,0.0,4.0,0,0.8235294117647058,8.333,28.571,1
22075,0,54082,0,2013,2017,154.0,566.0,5,1477,1,0.0,118.0,179.0,0,0.2666666666666667,5.625,19.286,1
22076,0,123,0,2011,2018,734.0,14.0,62,0,1,0.0,4.0,1896.0,0,0.0,5.0,17.143,0
22077,0,5289,0,2010,2023,1890.0,344.0,45518,8,1,18.0,50.0,81091.0,0,0.0,8.333,28.571,1
22078,1,10909,1,2012,2023,10189.0,13768.0,1470,620,1,5.0,14.0,15085.0,0,0.6428571428571428,8.333,28.571,1
22079,0,36,0,2010,2018,0.0,4.0,187,0,1,0.0,20.0,38463.0,0,0.1666666666666666,1.292,4.429,0
22080,0,150,0,2023,2023,111.0,3.0,58,0,1,20.0,118.0,562479.0,0,0.0999999999999999,6.25,21.429,1
22081,0,11752,0,2015,2023,161.0,958.0,27225,1,2,0.0,86.0,709394.0,0,0.2666666666666667,7.75,26.571,1
22082,0,5553,1,2017,2021,224.0,125.0,15270,1,1,0.0,108.0,979351.0,0,0.0714285714285714,8.208,28.143,1
22083,0,2978,1,2016,2017,0.0,15.0,2033,0,1,0.0,132.0,463094.0,0,0.3333333333333333,5.542,19.0,0
22084,0,25611,0,2012,2023,45.0,98115.0,3494,65,1,0.0,4.0,511.0,1,0.3333333333333333,8.333,28.571,1
22085,0,4814,1,2017,2023,188.0,100.0,13808,1,1,6.0,16.0,718700.0,1,0.4,8.333,28.571,1
22086,1,155989,0,2010,2023,1574.0,284021.0,1112,2476,15,200.0,0.0,336.0,1,0.5833333333333333,8.333,28.571,0
22087,0,2410,1,2011,2017,0.0,20.0,1671,1,1,0.0,128.0,351219.0,0,0.0769230769230768,5.375,18.429,0
22088,0,180,0,2016,2017,0.0,1.0,70,0,1,0.0,122.0,298517.0,0,0.1666666666666666,6.458,22.143,1
22089,0,1231,1,2011,2023,271.0,35.0,1328,1,1,0.0,102.0,347747.0,0,0.0833333333333333,6.083,20.857,0
22090,0,3871,0,2017,2023,0.0,18.0,0,10,1,14.0,0.0,0.0,0,0.0999999999999999,8.333,28.571,0
22091,0,3087,0,2011,2017,0.0,75.0,2097,3,1,0.0,136.0,332902.0,1,0.6111111111111112,5.667,19.429,0
22092,0,3236,1,2014,2021,58.0,44.0,2208,1,10,0.0,120.0,295954.0,0,0.75,5.375,18.429,0
22093,0,24745,0,2011,0,346.0,579.0,7772,1,0,0.0,0.0,0.0,1,0.7857142857142857,0.0,0.0,1
22094,0,1,0,2022,2023,36.0,49.0,33,0,10,0.0,0.0,7.0,0,0.7692307692307692,0.042,0.143,1
22095,0,951,0,2015,2019,146.0,134.0,407,0,27,0.0,102.0,55412.0,0,0.0,7.917,27.143,1
22096,1,9383,1,2013,2023,145.0,7025877.0,5212,1279,1,29.0,22.0,43989.0,1,0.9090909090909092,8.333,28.571,1
22097,0,1741,1,2018,2023,80.0,18.0,2761,0,16,0.0,154.0,25642.0,0,0.0714285714285714,7.625,26.143,1
22098,0,1999,0,2015,2023,948.0,34.0,6068,11,13,3.0,188.0,4040625.0,0,0.0,8.333,28.571,0
22099,0,1057,0,2012,2018,0.0,13.0,719,0,1,0.0,130.0,334418.0,0,0.1578947368421053,5.542,19.0,1
22100,1,834,1,2009,2023,2017.0,5031.0,2951,214,1,3.0,58.0,1180.0,1,0.5,8.333,28.571,1
22101,0,27596,0,2011,2023,822.0,34372.0,2060,278,34,34.0,48.0,250.0,1,0.9230769230769232,8.333,28.571,1
22102,0,242,0,2017,2017,0.0,1.0,139,2,18,0.0,142.0,147648.0,0,0.0,7.042,24.143,1
22103,0,1827,0,2015,2015,1072.0,287.0,121,0,6,0.0,170.0,43947.0,0,0.7692307692307692,7.083,24.286,0
22104,1,181139,1,2009,2023,1260.0,1852767.0,1828,2739,9,144.0,0.0,223.0,1,0.9230769230769232,8.333,28.571,0
22105,0,21501,0,2011,2023,195.0,257.0,2141,5,6,21.0,4.0,32767.0,1,1.0,8.333,28.571,1
22106,0,1289,1,2012,2023,221.0,177.0,6534,2,1,0.0,8.0,341956.0,0,0.2380952380952381,8.25,28.286,1
22107,1,22883,1,2009,2023,5793.0,458817.0,59877,1885,1,9.0,16.0,21422.0,0,0.5,8.292,28.429,1
22108,0,3,0,2022,2022,57.0,2.0,103,0,1,0.0,0.0,898.0,0,0.7,0.125,0.429,0
22109,0,3597,0,2012,2022,203.0,373.0,4809,0,1,0.0,32.0,406512.0,0,0.2142857142857143,6.417,22.0,1
22110,0,1330,0,2016,2019,10.0,3.0,415,0,1,0.0,130.0,5417716.0,0,0.75,6.042,20.714,1
22111,1,22137,1,2010,2023,1918.0,106333.0,7116,261,15,15.0,100.0,2520.0,1,0.7,8.333,28.571,1
22112,0,4,1,2012,2021,162.0,67.0,96,0,13,0.0,0.0,74.0,0,0.0,0.167,0.571,1
22113,0,10637,0,2010,2023,142.0,68.0,1025,1,1,5.0,74.0,329163.0,0,0.0769230769230768,8.333,28.571,1
22114,0,1379,1,2013,2021,13.0,2.0,1072,0,16,0.0,122.0,285457.0,0,0.5,5.792,19.857,0
22115,0,15635,0,2010,2019,351.0,212.0,417,1,1,0.0,0.0,16.0,0,0.4615384615384615,8.333,28.571,1
22116,0,16335,1,2012,2023,915.0,2887.0,108,99,1,24.0,0.0,61.0,1,1.0,8.333,28.571,1
22117,0,3940,1,2010,2017,89.0,1805.0,21,6,9,0.0,0.0,2.0,1,0.9333333333333332,8.333,28.571,1
22118,1,43202,1,2009,2023,7424.0,17711.0,82002,236,1,73.0,56.0,44890.0,1,0.75,8.333,28.571,1
22119,0,21706,0,2010,2023,1743.0,462.0,37900,1,1,82.0,144.0,500627.0,1,0.1428571428571429,8.333,28.571,1
22120,0,83965,1,2013,2023,279.0,577.0,4452,84,1,76.0,16.0,128.0,1,0.1052631578947368,8.333,28.571,1
22121,0,311,0,2018,0,1.0,0.0,638,0,0,0.0,0.0,0.0,0,0.5,0.0,0.0,1
22122,1,13777,1,2009,2023,932.0,845146.0,21,4732,11,4.0,70.0,3507.0,1,0.7857142857142857,8.333,28.571,1
22123,0,1567,0,2009,2023,622.0,111.0,15786,2,1,0.0,96.0,619797.0,1,0.0999999999999999,8.083,27.714,1
22124,0,429,1,2015,2017,49.0,15.0,228,1,10,0.0,178.0,4086.0,0,0.7692307692307692,7.417,25.429,1
22125,1,12228,1,2009,2023,277.0,81790.0,6855,687,1,2.0,0.0,496.0,1,0.7692307692307692,8.333,28.571,1
22126,0,7888,1,2014,0,97.0,277.0,41564,2,0,0.0,0.0,0.0,0,0.1111111111111111,0.0,0.0,1
22127,0,4981,1,2016,2023,2.0,80.0,3,24,11,14.0,0.0,0.0,0,0.0,8.333,28.571,0
22128,0,699,0,2016,2017,0.0,1.0,344,0,1,0.0,128.0,67114.0,0,0.5789473684210527,6.042,20.714,1
22129,0,407,0,2015,2023,113.0,28.0,4196,1,7,0.0,98.0,4003292.0,0,0.0,8.208,28.143,1
22130,0,2282,1,2010,2017,151.0,29.0,1912,0,1,0.0,152.0,558255.0,0,0.125,6.333,21.714,1
22131,0,125,1,2017,2017,0.0,0.0,7,0,1,0.0,92.0,13650.0,0,0.0666666666666666,3.833,13.143,0
22132,0,32841,0,2012,2023,72.0,331.0,51011,3,2,20.0,94.0,970879.0,1,0.0999999999999999,8.25,28.286,1
